Release_No	PGS_integ
ABBM013112	0.4941566648046445
ABBM070872	0.1509702639654784
ABBM045789	0.7226530927430734
ABBM001216	0.2515625861257432
ABBM079185	0.936331983064978
ABBM074095	0.4690835547121467
ABBM070112	0.3122658139837858
ABBM067243	0.5248914353457591
ABBM071095	0.5029441068531103
ABBM012881	0.1897630967670244
ABBM078840	0.6517840652068648
ABBM015063	0.4567553799876684
ABBM081143	0.3966603812258221
ABBM072032	0.7701656374788509
ABBM016069	0.4103478203703266
ABBM071011	0.7179933515785222
ABBM000938	0.5477346056303886
ABBM067409	0.6502341220985945
ABBM014949	0.6271796798985783
ABBM066819	0.7176766041390642
ABBM078369	0.5174292744393355
ABBM000716	0.4968949952855874
ABBM070023	0.2875792428036922
ABBM091601	0.5639978226073203
ABBM071612	0.2907429014676957
ABBM013316	0.6185386123874164
ABBM078741	0.3256428907787351
ABBM079289	0.8804461703148658
ABBM069790	0.5249980255203492
ABBM013169	0.4336238296238015
ABBM000263	0.4913857932155966
ABBM038895	0.3402921998045144
ABBM027723	0.4612773444650555
ABBM012623	0.2833414660051043
ABBM013418	0.7005592229609687
ABBM072960	0.6599700974928947
ABBM074875	0.6256199380879337
ABBM091591	0.977619057171911
ABBM071373	0.4748861118345859
ABBM069778	1.1067523600951437
ABBM071982	0.9175708269379762
ABBM071451	0.5674470881471669
ABBM014206	0.3965323431462591
ABBM019881	1.0341952158004712
ABBM002375	0.8919916813556761
ABBM014947	0.6653434098377834
ABBM085036	0.1926345258591029
ABBM075766	0.7864114980207748
ABBM071088	0.4401746631707345
ABBM025060	1.0118672809161935
ABBM071026	0.8189788144973524
ABBM073098	0.4277607207290242
ABBM066831	0.4601868230886057
ABBM073076	0.6307868431960798
ABBM014591	0.718391652174721
ABBM012402	0.8060487413419035
ABBM088604	0.5003426776752128
ABBM079412	0.6324827633776674
ABBM103766	0.975282570613854
ABBM082285	0.8106510136160948
ABBM069878	0.620039382566617
ABBM071897	0.4568056845988213
ABBM075151	0.5189367130841246
ABBM073123	0.5891481062596757
ABBM071375	0.710062870048086
ABBM000784	0.537124644961678
ABBM071494	0.3887387821838394
ABBM077703	0.3650130843753889
ABBM069901	0.459959140169221
ABBM012713	0.3979753614219762
ABBM083162	0.9204263620688392
ABBM068194	0.1144899508732363
ABBM069876	0.6160854028465887
ABBM074882	0.6516652569190313
ABBM070086	0.4007028365013152
ABBM013853	0.6218214930203347
ABBM071597	0.6628210478054348
ABBM013209	0.3560906898188155
ABBM013235	0.4123995388297926
ABBM018006	0.4545734138669962
ABBM016075	0.7257013827961493
ABBM026535	0.5886036338028968
ABBM015751	0.2576917086247498
ABBM014667	0.6296781492860757
ABBM074782	0.7347201539977226
ABBM074588	0.6569918860212327
ABBM012802	0.4509398524653323
ABBM088244	0.7116683864750377
ABBM043988	0.1436687329434747
ABBM070590	0.2390453398442883
ABBM083038	0.3478861525076027
ABBM072357	0.386534750467043
ABBM075445	0.4988264893388104
ABBM102928	0.4673574442103019
ABBM069924	0.8016363622504895
ABBM090563	0.4232254843566831
ABBM060075	0.6780861366030154
ABBM071857	0.5483106086818585
ABBM075368	0.7687044601549199
ABBM088168	0.7950479734718302
ABBM071312	0.5675871114954798
ABBM073184	0.7367869985536115
ABBM012660	0.3005064216142544
ABBM071492	0.830241313228911
ABBM013166	0.5762001892991795
ABBM000236	0.8232256300817639
ABBM066869	0.5973629600288876
ABBM067739	0.4426449693097462
ABBM015340	1.0402059063807547
ABBM091296	0.3523657356187712
ABBM095964	0.9006396379111065
ABBM090931	0.8008648501110467
